Category,Discounted,SoldBy,Url,Title,CurrentPrice,Savings,OriginalPrice,SellerRating
,False,,https://uae.souq.com/ae-en/wrap-skirt-for-women-24275264/i/,,,-66.00 ,,(38% Positive Rating)
,True,,https://uae.souq.com/ae-en/navy-blue-sleepwear-set-for-women-22974623/i/,,,18.51 ,52.50 ,
,False,,https://uae.souq.com/ae-en/mickey-mouse-pajama-for-women-22305852/i/,,,-35.00 ,,(38% Positive Rating)
,False,,https://uae.souq.com/ae-en/blue-eye-mask-for-unisex-23861136/i/,,,-30.00 ,,
,False,,https://uae.souq.com/ae-en/black-eye-mask-for-unisex-23410400/i/,,,-18.00 ,,(87% Positive Rating)
,True,,https://uae.souq.com/ae-en/iron-man-pajama-for-girls-22359805/i/,,,28.00 ,63.00 ,
,True,,https://uae.souq.com/ae-en/spiderman-pajama-fo-boys-22370403/i/,,,28.00 ,63.00 ,
,False,,https://uae.souq.com/ae-en/black-eye-mask-for-unisex-29543188/i/,,,-31.97 ,,(75% Positive Rating)
,False,,https://uae.souq.com/ae-en/brown-silk-pajama-for-women-11134067/i/,,,-129.00 ,,(76% Positive Rating)
,True,,https://uae.souq.com/ae-en/green-pajama-for-boys-22371249/i/,,,42.00 ,84.00 ,
,False,,https://uae.souq.com/ae-en/pink-bear-pajama-for-women-22289819/i/,,,-60.00 ,,(76% Positive Rating)
,False,,https://uae.souq.com/ae-en/black-eye-mask-for-unisex-23861108/i/,,,-48.00 ,,
,False,,https://uae.souq.com/ae-en/wowen-s-long-sleeve-purple-sleepwear-2-piece-pajama-set-xst1-2-7577791/i/,,,-88.00 ,,(76% Positive Rating)
,False,,https://uae.souq.com/ae-en/blue-cotton-pajama-for-boys-12068490/i/,,,-67.50 ,,(25% Positive Rating)
,False,,https://uae.souq.com/ae-en/cartoon-love-rabbit-cosplay-costume-kigurumi-pajamas-sleepwear-white-gh2901-6785066/i/,,,-262.00 ,,(50% Positive Rating)
